"","FEEDER_NAM","GRIDID","KE_IBC","KE_REGION","received","billed","com","res","ind","tot","losses","comRel","resRel","indRel"
"1","11th Commercial RMU","1","Defence",4,9363481.6,9039045.02747766,327,284,0,612,0.0346491386838777,0.534313725490196,0.464052287581699,0
"2","12th Lane Sehar","3","Defence",4,7720570.77647059,7178803.24121125,36,703,0,740,0.0701719537252927,0.0486486486486487,0.95,0
"3","3-A  RMU","26","Landhi",2,13218145.5,7153145.69679828,144,1847,8,2000,0.458838934947547,0.072,0.9235,0.004
"4","30th Street Rahat RMU","3","Defence",4,6173510.8,5611070.66966201,216,765,0,982,0.0911053934396594,0.219959266802444,0.779022403258656,0
"5","33-E","24","Korangi",2,12213709.8,6930072.18173732,426,2299,47,2773,0.43259891587261,0.153624233681933,0.829065993508835,0.0169491525423729
"6","36-B RMU","23","Landhi",2,8078376.6,4348916.81823853,401,1083,11,1496,0.46165955939235,0.268048128342246,0.723930481283422,0.00735294117647059
"7","51-C Area","66","Korangi",2,10877002.4,5241682.92322143,486,2098,18,2603,0.518094900556294,0.186707645024971,0.805993084902036,0.00691509796388782
"8","52-A Bus Stop RMU","21","Bin Qasim",2,14822149.9,7672398.76253196,347,3013,3,3364,0.482369371899824,0.103151010701546,0.895659928656361,0.00089179548156956
"9","6Th Street Badar RMU","1","Defence",4,6309212.8,5789143.80814155,65,651,0,717,0.082430092048639,0.0906555090655509,0.907949790794979,0
"10","7 - A  RMU","23","Korangi",2,11157679.6,5670037.91022143,1585,1080,17,2683,0.491826426865544,0.590756615728662,0.402534476332464,0.00633619083115915
"11","A-One Center","6","Bahadurabad",5,8951291.8,5456587.93,170,1453,9,1633,0.39041335575721,0.104102878138396,0.889773423147581,0.00551132884262094
"12","A.D.B.P","77","Johar-I",2,10634692.8,7171258.13942971,414,664,0,1079,0.325673221192651,0.38368860055607,0.615384615384615,0
"13","AA Ghani","41","SITE",0,13920573.4,12940508.4965,63,1,42,107,0.0704040613370136,0.588785046728972,0.00934579439252336,0.392523364485981
"14","AB Gases","40","SITE",0,11703984.59,11175521.5065,35,3,20,59,0.045152407663927,0.593220338983051,0.0508474576271186,0.338983050847458
"15","Abbas Bawazir","16","Shah Faisal",2,6241055.4,3582784.60313072,134,1046,9,1190,0.425932895399275,0.112605042016807,0.878991596638655,0.00756302521008403
"16","Abbas Square","12","F.B Area",3,10661337.8,8043758.18381415,250,1535,3,1789,0.245520746578901,0.139742873113471,0.858021240916713,0.00167691447736165
"17","Abbasi Market",NA,"Malir",2,9772109.4,7658725.76268304,751,1879,4,2635,0.216266882697503,0.285009487666034,0.713092979127135,0.0015180265654649
"18","Abbasi Nager RMU","35","Korangi",2,14655650,10771942.8947214,453,3772,10,4236,0.264997260802391,0.106940509915014,0.890462700661001,0.00236071765816808
"19","Abbott Lab.","26","Bin Qasim",2,8035886.5,6101063.37456536,102,478,13,594,0.240772828913729,0.171717171717172,0.804713804713805,0.0218855218855219
"20","ABC Computer","27","F.B Area",3,8075705.77,6654372.00718429,380,1163,11,1555,0.176001182224313,0.244372990353698,0.747909967845659,0.00707395498392283
"21","Abdul Ghani","17","Johar-II",2,7451975.2,3936845.10556536,276,2410,2,2689,0.471704481039422,0.102640386760878,0.896243956861287,0.000743770918557084
"22","Abdul Waheed Sohail PN","18","Tipu Sultan",5,397658,335613,0,0,0,1,0.156026032419818,0,0,0
